,views,products,products_quan,carts,carts_quan,wish,wish_quan
16144338261041961136,844,"[2000000086538.0, 2000000086521.0, 2000000063430.0, 2000000076003.0, 2000000057972.0, 2000000086118.0, 2000000039718.0, 2000000104331.0, 2000000104331.0, 2000000108247.0, 2000000108247.0, 2000000023625.0, 2000000097312.0, 2000000104331.0, 2000000108643.0, 2000000108643.0, 2000000105369.0, 2000000098913.0, 2000000098913.0, 2000000099491.0, 2000000098920.0, 2000000108735.0, 2000000108735.0, 2000000099415.0, 2000000105529.0, 2000000107585.0, 2000000098364.0, 2000000104973.0, 2000000109640.0, 2000000109466.0, 2000000105222.0, 2000000095097.0, 2000000109848.0, 2000000109312.0, 2000000108803.0, 2000000106342.0, 2000000103280.0, 2000000103303.0, 2000000104973.0, 2000000109640.0, 2000000105222.0, 2000000104973.0, 2000000104973.0, 2000000107752.0, 2000000073538.0, 2000000076331.0, 2000000067964.0, 2000000072906.0, 2000000078335.0, 2000000071169.0, 2000000058443.0, 2000000060521.0, 2000000093130.0, 2000000058443.0, 2000000060934.0, 2000000107752.0, 2000000060934.0, 2000000033006.0, 2000000101378.0, 2000000054490.0, 2000000029764.0, 2000000059952.0, 2000000108247.0, 2000000100616.0, 2000000108612.0, 2000000108643.0, 2000000105048.0, 2000000097855.0, 2000000086941.0, 2000000101019.0, 2000000089881.0, 2000000088297.0, 2000000098067.0, 2000000016993.0, 2000000063096.0, 2000000101682.0, 2000000063355.0, 2000000090177.0, 2000000047225.0, 2000000096087.0, 2000000095653.0, 2000000061894.0, 2000000101804.0, 2000000104331.0, 2000000084169.0, 2000000104379.0, 2000000104379.0, 2000000082202.0, 2000000104379.0, 2000000073606.0, 2000000037172.0, 2000000106960.0, 2000000107028.0, 2000000106960.0, 2000000073606.0, 2000000107028.0, 2000000067964.0, 2000000067964.0, 2000000097831.0, 2000000097831.0, 2000000047409.0, 2000000073347.0, 2000000073347.0, 2000000073347.0, 2000000073347.0, 2000000011370.0, 2000000111346.0, 2000000102733.0, 2000000086569.0, 2000000095073.0, 2000000095073.0, 2000000103440.0, 2000000038773.0, 2000000038773.0, 2000000038773.0, 2000000055527.0, 2000000050706.0, 2000000050706.0, 2000000112299.0, 2000000114347.0, 2000000114347.0, 2000000114347.0, 2000000107417.0, 2000000116853.0, 2000000115412.0, 2000000114293.0, 2000000107011.0]",127.0,,,,
1632398801246109769,4,,,,,,
1634386262773040899,5,,,,,,
163249793320674415,154,"[2000000097510.0, 2000000082721.0, 2000000067032.0, 2000000107776.0, 2000000067070.0, 2000000090771.0, 2000000090788.0, 2000000090788.0, 2000000110127.0, 2000000066103.0, 2000000090559.0, 2000000090771.0, 2000000113302.0, 2000000106076.0]",14.0,,,,
1634382865762313529,1,[2000000076331.0],1.0,,,,
1634376228971631026,4,"[2000000002699.0, 2000000002699.0, 2000000002699.0, 2000000002699.0]",4.0,,,,
1634384586193143335,3,[2000000053141.0],1.0,,,,
162827045071532433,1483,"[2000000107752.0, 2000000107349.0, 2000000107752.0, 2000000107752.0, 2000000081472.0, 2000000081441.0, 2000000108551.0, 2000000108544.0, 2000000108544.0, 2000000108551.0, 2000000108551.0, 2000000108544.0, 2000000108551.0, 2000000108544.0, 2000000108544.0, 2000000108551.0, 2000000108544.0, 2000000108551.0, 2000000108544.0, 2000000108544.0, 2000000108544.0, 2000000108551.0, 2000000108551.0, 2000000081410.0, 2000000108551.0, 2000000108544.0, 2000000108544.0, 2000000108551.0, 2000000108544.0, 2000000108551.0, 2000000108544.0, 2000000108544.0, 2000000108544.0, 2000000108544.0, 2000000108544.0, 2000000108544.0, 2000000108551.0, 2000000108551.0, 2000000108551.0, 2000000108544.0, 2000000108544.0, 2000000108544.0, 2000000108544.0, 2000000108544.0, 2000000108544.0, 2000000108544.0, 2000000108551.0, 2000000081472.0, 2000000080222.0, 2000000112084.0, 2000000112084.0, 2000000080222.0, 2000000112084.0, 2000000113678.0, 2000000113616.0, 2000000108544.0, 2000000101262.0, 2000000101286.0, 2000000081335.0, 2000000081397.0, 2000000118680.0]",61.0,,,,
1634385244637756596,1,[2000000068053.0],1.0,,,,
1634385611662233353,4,[2000000102023.0],1.0,,,,
1632300479943213942,289,"[2000000093383.0, 2000000018386.0, 2000000058443.0, 2000000052434.0, 2000000093383.0, 2000000046525.0, 2000000066332.0, 2000000046525.0, 2000000011295.0, 2000000066332.0, 2000000059013.0, 2000000059020.0, 2000000046525.0, 2000000066332.0, 2000000052434.0, 2000000093383.0, 2000000046525.0, 2000000052434.0, 2000000093383.0, 2000000066332.0, 2000000107646.0, 2000000103433.0, 2000000085173.0, 2000000085173.0, 2000000099644.0, 2000000041544.0, 2000000045061.0, 2000000046525.0, 2000000073774.0, 2000000011233.0, 2000000114941.0, 2000000059020.0, 2000000081366.0, 2000000114958.0, 2000000066332.0, 2000000108698.0, 2000000108711.0, 2000000108728.0, 2000000108728.0, 2000000118284.0, 2000000118284.0, 2000000118284.0, 2000000115658.0, 2000000115665.0, 2000000059020.0, 2000000059013.0]",46.0,,,,
1634386202195232825,1,,,,,,
16343770561049399550,1,,,,,,
1632319915815557378,276,"[2000000107677.0, 2000000070940.0, 2000000106991.0, 2000000107004.0, 2000000090351.0, 2000000103280.0, 2000000090351.0, 2000000068145.0, 2000000068053.0, 2000000073538.0, 2000000050584.0, 2000000000626.0, 2000000101033.0, 2000000100999.0, 2000000108407.0, 2000000107950.0, 2000000108551.0, 2000000078335.0, 2000000109879.0, 2000000101194.0, 2000000097329.0, 2000000023137.0, 2000000103037.0, 2000000031965.0, 2000000042893.0, 2000000096872.0, 2000000082547.0, 2000000023137.0, 2000000107622.0, 2000000107622.0, 2000000109121.0, 2000000105031.0, 2000000096100.0, 2000000106984.0, 2000000106267.0, 2000000104577.0, 2000000073422.0, 2000000103433.0, 2000000100869.0, 2000000104041.0, 2000000090351.0, 2000000107622.0, 2000000106588.0, 2000000103440.0, 2000000107066.0, 2000000103433.0, 2000000102726.0, 2000000108407.0, 2000000102849.0, 2000000108322.0, 2000000102931.0, 2000000106984.0, 2000000106984.0, 2000000048413.0, 2000000107677.0, 2000000107684.0, 2000000107622.0, 2000000107738.0, 2000000096193.0, 2000000106267.0, 2000000106267.0, 2000000110097.0, 2000000110745.0, 2000000088860.0, 2000000110592.0, 2000000107622.0, 2000000110905.0, 2000000110035.0, 2000000110646.0, 2000000046181.0, 2000000046181.0, 2000000060514.0, 2000000107059.0, 2000000113791.0, 2000000113357.0, 2000000113791.0, 2000000113791.0, 2000000113791.0, 2000000113791.0, 2000000113791.0]",80.0,,,,
1634361694562147570,2,,,,,,
1634377442545512537,1,,,,,,
1634378357778916428,1,,,,,,
1634288250642495496,81,"[2000000102924.0, 2000000102924.0, 2000000107844.0, 2000000102924.0, 2000000102924.0, 2000000102924.0, 2000000102924.0, 2000000102924.0, 2000000102924.0]",9.0,,,,
163437908376868397,1,,,,,,
1634381596620009506,1,,,,,,
1633349848928582,7,"[2000000002675.0, 2000000002675.0, 2000000002675.0]",3.0,,,,
1634382264255792800,1,,,,,,
1634382984782409279,3,,,,,,
